//1	2	1	1	0	0	0	0
//TPB in polystyrene absorption length obtained from
//Francini2013 Fig. 20  https://doi.org/10.1088/1748-0221/8/09/P09006
//Absorption probability W was calculated using reflectance and transmittance as
//W = (1 - T - R)/(1 - R)
//Then it is assumed that W = 1 - exp(-L/absorption_length),
//where L is TBP thickness. L in Francini2013 was taken to be the
//same as in out detector which is ~0.4 mm (see Borisova's dissertation)
//Wavelength [nm]	Absorption length [mm]
250	0.0702754347313899
250.35035035035	0.070280229586562
250.700700700701	0.0702849455467431
251.051051051051	0.0702895845435983
251.401401401401	0.0702941484462322
251.751751751752	0.0702986390637017
252.102102102102	0.0621195766096222
252.452452452452	0.0658358551578421
252.802802802803	0.0685339736693698
253.153153153153	0.0705709238505674
253.503503503504	0.0721806346062615
253.853853853854	0.0734746907657663
254.204204204204	0.0745210421956009
254.554554554555	0.0753654254390051
254.904904904905	0.0760402065998406
255.255255255255	0.0765691615368085
255.605605605606	0.0769702633645258
255.955955955956	0.0772574071650215
256.306306306306	0.0774415294077932
256.656656656657	0.0775313639386039
257.007007007007	0.077533970106591
257.357357357357	0.0774551128239232
257.707707707708	0.0772995435246196
258.058058058058	0.0770712131928951
258.408408408408	0.0767734379783192
258.758758758759	0.0764090313487854
259.109109109109	0.0759804162368292
259.459459459459	0.0754899669446802
259.80980980981	0.0749402323913118
260.16016016016	0.0743336071744053
260.510510510511	0.0736723550274281
260.860860860861	0.0729586749089282
261.211211211211	0.0721947746600967
261.561561561562	0.0713829579135513
261.911911911912	0.0705257314829384
262.262262262262	0.0696259517215354
262.612612612613	0.0686870710956678
262.962962962963	0.0677133306141257
263.313313313313	0.0667100372270883
263.663663663664	0.0656839924735919
264.014014014014	0.0646440623646802
264.364364364364	0.0636019185002713
264.714714714715	0.0625729644620894
265.065065065065	0.0615774130146601
265.415415415415	0.0606413720019845
265.765765765766	0.0597976016507652
266.116116116116	0.0590853290981277
266.466466466466	0.0585482679416696
266.816816816817	0.0582301120793585
267.167167167167	0.0581676699600802
267.517517517517	0.0583834474328609
267.867867867868	0.0588807747010022
268.218218218218	0.0596439279967105
268.568568568569	0.0606430842982617
268.918918918919	0.0618415113026475
269.269269269269	0.0632020453979284
269.61961961962	0.0646912844426276
269.96996996997	0.0662814452258849
270.32032032032	0.0679505958071377
270.670670670671	0.0696820390403661
271.021021021021	0.0714633942111089
271.371371371371	0.0732856722588433
271.721721721722	0.0751424694517914
272.072072072072	0.0770293320618105
272.422422422422	0.0789432633452914
272.772772772773	0.0808823508167334
273.123123123123	0.0828454223360119
273.473473473473	0.0848286099223861
273.823823823824	0.0868247098784952
274.174174174174	0.088828153694449
274.524524524525	0.0908349019066602
274.874874874875	0.0928420327205113
275.225225225225	0.0948474401911103
275.575575575576	0.0968496131627436
275.925925925926	0.098847473228412
276.276276276276	0.100840255674389
276.626626626627	0.102827421725161
276.976976976977	0.104808593622419
277.327327327327	0.106783506413595
277.677677677678	0.108751972015159
278.028028028028	0.110713852331016
278.378378378378	0.112669039079928
278.728728728729	0.114617438615099
279.079079079079	0.116558960473751
279.429429429429	0.118493508724332
279.77977977978	0.120420975419447
280.13013013013	0.12234123563862
280.48048048048	0.124254143734647
280.830830830831	0.126159530493147
281.181181181181	0.128057200986219
281.531531531532	0.129946932954388
281.881881881882	0.131828475591014
282.232232232232	0.133701548633478
282.582582582583	0.135565841688358
282.932932932933	0.137421013735135
283.283283283283	0.139266692766281
283.633633633634	0.141102475531758
283.983983983984	0.142927927363767
284.334334334334	0.144742582063649
284.684684684685	0.146545941837514
285.035035035035	0.1483374772708
285.385385385385	0.1501166273348
285.735735735736	0.151882799420396
286.086086086086	0.153635369395943
286.436436436436	0.155373681687621
286.786786786787	0.157097049381584
287.137137137137	0.158804754348079
287.487487487488	0.16049604738834
287.837837837838	0.162170148405525
288.188188188188	0.163826246601363
288.538538538539	0.165463500700448
288.888888888889	0.167081039204298
289.239239239239	0.168677961635752
289.58958958959	0.170253348678537
289.93993993994	0.171806259340756
290.29029029029	0.173335725181718
290.640640640641	0.174840750627031
290.990990990991	0.176320313414004
291.341341341341	0.177773073605815
291.691691691692	0.179196411187518
292.042042042042	0.180587353576302
292.392392392392	0.181942914500467
292.742742742743	0.183260091695434
293.093093093093	0.184535865085578
293.443443443443	0.185767195435552
293.793793793794	0.186951023448294
294.144144144144	0.188084269285675
294.494494494495	0.189163832486204
294.844844844845	0.190186592252314
295.195195195195	0.19114940807747
295.545545545546	0.192049120680554
295.895895895896	0.192882553211689
296.246246246246	0.193646512689753
296.596596596597	0.194337791627235
296.946946946947	0.194953169792766
297.297297297297	0.19548941605542
297.647647647648	0.195943290247706
297.997997997998	0.196311544975837
298.348348348348	0.196590927296202
298.698698698699	0.196778180165737
299.049049049049	0.196870043560806
299.399399399399	0.196863255143823
299.74974974975	0.196754550338741
300.1001001001	0.196540689599122
300.45045045045	0.196220863194517
300.800800800801	0.195798541833967
301.151151151151	0.195277620479234
301.501501501501	0.194661979249683
301.851851851852	0.193955480684844
302.202202202202	0.193161966817808
302.552552552553	0.192285256181012
302.902902902903	0.191329140849974
303.253253253253	0.19029738361689
303.603603603604	0.189193715374351
303.953953953954	0.188021832779571
304.304304304304	0.186785396261165
304.654654654655	0.185488028423579
305.005005005005	0.184133312898562
305.355355355355	0.182724793688566
305.705705705706	0.181265975043436
306.056056056056	0.179760321909336
306.406406406406	0.178211260987226
306.756756756757	0.176622182437564
307.107107107107	0.174996442267952
307.457457457457	0.17333736544126
307.807807807808	0.171648249743167
308.158158158158	0.16993237044996
