//1	2	1	1	0	0	0	0
//Calculated from Francini2013 (https://doi.org/10.1088/1748-0221/8/09/P0900) reflectance data
//using Fresnel fromula at normal incidence. Considering that reflection is 100% due to 1st Fresnel reflection
//when light arrives at TBP plate.
//Wavelength [nm]	refraction index 
262	1.75775583186735
265	1.75983120094941
268	1.75290939607338
271	1.75221659434633
274	1.7327696445552
277	1.72161228712758
280	1.71392120489755
283	1.70410712577951
286	1.69214948633397
289	1.68721214862163
292	1.67802068174686
295	1.66950960213358
298	1.66382069706268
301	1.65526409026741
304	1.64882760484748
307	1.63806209760798
310	1.63518296180885
313	1.62869158859149
316	1.62507710801614
319	1.59373250917094
322	1.59666914244409
325	1.59666914244409
328	1.59666914244409
331	1.5974025974026
334	1.6010657092031
337	1.60545243292272
340	1.61419729570156
343	1.61928144974206
346	1.62796916514364
349	1.63230020797896
352	1.63662297834341
355	1.64667836745169
358	1.65383519619951
361	1.65883280176279
364	1.66239655919943
367	1.67163984158738
370	1.67305907802751
373	1.67518656260275
376	1.68297356977579
379	1.70059490816223
382	1.70901781334632
387	1.73903095613598
392	1.79703120804419
397	1.84625137109778
402	1.90058320921912
405	1.93847302550874
412	1.95198729895523
416	1.9452310606859
420	1.9452310606859
424	1.93847302550874
428	1.93847302550874
432	1.9452310606859
436	1.9452310606859
440	1.93847302550874
444	1.93171295137133
448	1.92359782265858
452	1.91683238550829
456	1.91277177272089
460	1.91547896463757
464	1.92224495060238
468	1.92495059114853
472	1.92495059114853
476	1.92224495060238
480	1.91615568944436
484	1.9087100776513
488	1.90193802381758
492	1.89719555656242
496	1.89855072463768
500	1.90058320921912
504	1.90261537940734
508	1.90735592884233
512	1.91074106405773
516	1.91006409980545
520	1.90938710442592
524	1.90464724263112
528	1.89922825489138
532	1.89312917167826
536	1.88906141846588
540	1.88431389477951
544	1.88431389477951
548	1.88567053447661
552	1.88973947495982
556	1.89041749202295
560	1.89719555656242
564	1.89651791818368
568	1.90058320921912
572	1.89922825489138
576	1.89787315862078
580	1.89855072463768
584	1.89245130948459
588	1.89041749202295
592	1.88567053447661
596	1.88092155990825
600	1.88024296447986

