//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
2.88	1.96E-16
2.89	1.99E-16
2.9	2.01E-16
2.91	2.03E-16
2.92	2.06E-16
2.93	2.08E-16
2.94	2.10E-16
2.95	2.13E-16
2.96	2.15E-16
2.97	2.18E-16
2.98	2.20E-16
2.99	2.23E-16
3	2.26E-16
3.01	2.28E-16
3.02	2.31E-16
3.03	2.34E-16
3.04	2.37E-16
3.05	2.39E-16
3.06	2.42E-16
3.07	2.45E-16
3.08	2.48E-16
3.09	2.51E-16
3.1	2.54E-16
3.11	2.57E-16
3.12	2.60E-16
3.13	2.63E-16
3.14	2.67E-16
3.15	2.70E-16
3.16	2.73E-16
3.17	2.76E-16
3.18	2.80E-16
3.19	2.83E-16
3.2	2.86E-16
3.21	2.90E-16
3.22	2.93E-16
3.23	2.97E-16
3.24	3.00E-16
3.25	3.04E-16
3.26	3.08E-16
3.27	3.11E-16
3.28	3.15E-16
3.29	3.19E-16
3.3	3.22E-16
3.31	3.26E-16
3.32	3.30E-16
3.33	3.34E-16
3.34	3.38E-16
3.35	3.42E-16
3.36	3.46E-16
3.37	3.50E-16
3.38	3.54E-16
3.39	3.58E-16
3.4	3.63E-16
3.41	3.67E-16
3.42	3.71E-16
3.43	3.76E-16
3.44	3.80E-16
3.45	3.85E-16
3.46	3.89E-16
3.47	3.94E-16
3.48	3.99E-16
3.49	4.04E-16
3.5	4.08E-16
3.51	4.13E-16
3.52	4.18E-16
3.53	4.23E-16
3.54	4.29E-16
3.55	4.34E-16
3.56	4.39E-16
3.57	4.44E-16
3.58	4.50E-16
3.59	4.55E-16
3.6	4.60E-16
3.61	4.66E-16
3.62	4.71E-16
3.63	4.77E-16
3.64	4.82E-16
3.65	4.87E-16
3.66	4.93E-16
3.67	4.98E-16
3.68	5.04E-16
3.69	5.09E-16
3.7	5.14E-16
3.71	5.20E-16
3.72	5.25E-16
3.73	5.30E-16
3.74	5.36E-16
3.75	5.41E-16
3.76	5.46E-16
3.77	5.51E-16
3.78	5.56E-16
3.79	5.61E-16
3.8	5.66E-16
3.81	5.71E-16
3.82	5.76E-16
3.83	5.81E-16
3.84	5.86E-16
3.85	5.91E-16
3.86	5.96E-16
3.87	6.01E-16
3.88	6.06E-16
3.89	6.11E-16
3.9	6.16E-16
3.91	6.21E-16
3.92	6.26E-16
3.93	6.31E-16
3.94	6.36E-16
3.95	6.41E-16
3.96	6.46E-16
3.97	6.51E-16
3.98	6.56E-16
3.99	6.61E-16
4	6.66E-16
4.01	6.71E-16
4.02	6.76E-16
4.03	6.81E-16
4.04	6.86E-16
4.05	6.91E-16
4.06	6.97E-16
4.07	7.02E-16
4.08	7.07E-16
4.09	7.12E-16
4.1	7.17E-16
4.11	7.22E-16
4.12	7.27E-16
4.13	7.32E-16
4.14	7.37E-16
4.15	7.42E-16
4.16	7.47E-16
4.17	7.52E-16
4.18	7.57E-16
4.19	7.62E-16
4.2	7.67E-16
4.21	7.72E-16
4.22	7.77E-16
4.23	7.81E-16
4.24	7.86E-16
4.25	7.91E-16
4.26	7.95E-16
4.27	8.00E-16
4.28	8.04E-16
4.29	8.09E-16
4.3	8.13E-16
4.31	8.17E-16
4.32	8.21E-16
4.33	8.25E-16
4.34	8.30E-16
4.35	8.34E-16
4.36	8.38E-16
4.37	8.42E-16
4.38	8.45E-16
4.39	8.49E-16
4.4	8.53E-16
4.41	8.57E-16
4.42	8.61E-16
4.43	8.64E-16
4.44	8.68E-16
4.45	8.71E-16
4.46	8.75E-16
4.47	8.78E-16
4.48	8.82E-16
4.49	8.85E-16
4.5	8.89E-16
4.51	8.92E-16
4.52	8.95E-16
4.53	8.99E-16
4.54	9.02E-16
4.55	9.05E-16
4.56	9.08E-16
4.57	9.11E-16
4.58	9.14E-16
4.59	9.17E-16
4.6	9.20E-16
4.61	9.23E-16
4.62	9.26E-16
4.63	9.29E-16
4.64	9.32E-16
4.65	9.35E-16
4.66	9.38E-16
4.67	9.40E-16
4.68	9.43E-16
4.69	9.46E-16
4.7	9.48E-16
4.71	9.51E-16
4.72	9.53E-16
4.73	9.56E-16
4.74	9.58E-16
4.75	9.61E-16
4.76	9.63E-16
4.77	9.65E-16
4.78	9.68E-16
4.79	9.70E-16
4.8	9.72E-16
4.81	9.74E-16
4.82	9.76E-16
4.83	9.78E-16
4.84	9.80E-16
4.85	9.82E-16
4.86	9.84E-16
4.87	9.86E-16
4.88	9.88E-16
4.89	9.90E-16
4.9	9.92E-16
4.91	9.94E-16
4.92	9.96E-16
4.93	9.97E-16
4.94	9.99E-16
4.95	1.00E-15
4.96	1.00E-15
4.97	1.00E-15
4.98	1.01E-15
4.99	1.01E-15
5	1.01E-15
5.01	1.01E-15
5.02	1.01E-15
5.03	1.02E-15
5.04	1.02E-15
5.05	1.02E-15
5.06	1.02E-15
5.07	1.02E-15
5.08	1.02E-15
5.09	1.03E-15
5.1	1.03E-15
5.11	1.03E-15
5.12	1.03E-15
5.13	1.03E-15
5.14	1.03E-15
5.15	1.04E-15
5.16	1.04E-15
5.17	1.04E-15
5.18	1.04E-15
5.19	1.04E-15
5.2	1.04E-15
5.21	1.05E-15
5.22	1.05E-15
5.23	1.05E-15
5.24	1.05E-15
5.25	1.05E-15
5.26	1.05E-15
5.27	1.05E-15
5.28	1.05E-15
5.29	1.05E-15
5.3	1.06E-15
5.31	1.06E-15
5.32	1.06E-15
5.33	1.06E-15
5.34	1.06E-15
5.35	1.06E-15
5.36	1.06E-15
5.37	1.06E-15
5.38	1.06E-15
5.39	1.06E-15
5.4	1.06E-15
5.41	1.06E-15
5.42	1.06E-15
5.43	1.07E-15
5.44	1.07E-15
5.45	1.07E-15
5.46	1.07E-15
5.47	1.07E-15
5.48	1.07E-15
5.49	1.07E-15
5.5	1.07E-15
5.51	1.07E-15
5.52	1.07E-15
5.53	1.07E-15
5.54	1.07E-15
5.55	1.08E-15
5.56	1.08E-15
5.57	1.08E-15
5.58	1.08E-15
5.59	1.08E-15
5.6	1.08E-15
5.61	1.08E-15
5.62	1.08E-15
5.63	1.08E-15
5.64	1.09E-15
5.65	1.09E-15
5.66	1.09E-15
5.67	1.09E-15
5.68	1.09E-15
5.69	1.09E-15
5.7	1.09E-15
5.71	1.09E-15
5.72	1.09E-15
5.73	1.10E-15
5.74	1.10E-15
5.75	1.10E-15
5.76	1.10E-15
5.77	1.10E-15
5.78	1.10E-15
5.79	1.10E-15
5.8	1.10E-15
5.81	1.10E-15
5.82	1.10E-15
5.83	1.10E-15
5.84	1.10E-15
5.85	1.10E-15
5.86	1.11E-15
5.87	1.11E-15
5.88	1.11E-15
5.89	1.11E-15
5.9	1.11E-15
5.91	1.11E-15
5.92	1.11E-15
5.93	1.11E-15
5.94	1.11E-15
5.95	1.11E-15
5.96	1.11E-15
5.97	1.11E-15
5.98	1.11E-15
5.99	1.11E-15
6	1.11E-15
6.01	1.11E-15
6.02	1.11E-15
6.03	1.11E-15
6.04	1.11E-15
6.05	1.11E-15
6.06	1.11E-15
6.07	1.11E-15
6.08	1.11E-15
6.09	1.11E-15
6.1	1.12E-15
6.11	1.12E-15
6.12	1.12E-15
6.13	1.12E-15
6.14	1.12E-15
6.15	1.12E-15
6.16	1.12E-15
6.17	1.12E-15
6.18	1.12E-15
6.19	1.12E-15
6.2	1.12E-15
6.21	1.12E-15
6.22	1.12E-15
6.23	1.12E-15
6.24	1.12E-15
6.25	1.12E-15
6.26	1.12E-15
6.27	1.12E-15
6.28	1.12E-15
6.29	1.12E-15
6.3	1.13E-15
6.31	1.13E-15
6.32	1.13E-15
6.33	1.13E-15
6.34	1.13E-15
6.35	1.13E-15
6.36	1.13E-15
6.37	1.13E-15
6.38	1.13E-15
6.39	1.13E-15
6.4	1.13E-15
6.41	1.13E-15
6.42	1.13E-15
6.43	1.13E-15
6.44	1.14E-15
6.45	1.14E-15
6.46	1.14E-15
6.47	1.14E-15
6.48	1.14E-15
6.49	1.14E-15
6.5	1.14E-15
6.51	1.14E-15
6.52	1.14E-15
6.53	1.14E-15
6.54	1.14E-15
6.55	1.14E-15
6.56	1.15E-15
6.57	1.15E-15
6.58	1.15E-15
6.59	1.15E-15
6.6	1.15E-15
6.61	1.15E-15
6.62	1.15E-15
6.63	1.15E-15
6.64	1.15E-15
6.65	1.15E-15
6.66	1.15E-15
6.67	1.15E-15
6.68	1.15E-15
6.69	1.15E-15
6.7	1.15E-15
6.71	1.16E-15
6.72	1.16E-15
6.73	1.16E-15
6.74	1.16E-15
6.75	1.16E-15
6.76	1.16E-15
6.77	1.16E-15
6.78	1.16E-15
6.79	1.16E-15
6.8	1.16E-15
6.81	1.16E-15
6.82	1.16E-15
6.83	1.16E-15
6.84	1.16E-15
6.85	1.16E-15
6.86	1.16E-15
6.87	1.16E-15
6.88	1.16E-15
6.89	1.17E-15
6.9	1.17E-15
6.91	1.17E-15
6.92	1.17E-15
6.93	1.17E-15
6.94	1.17E-15
6.95	1.17E-15
6.96	1.17E-15
6.97	1.17E-15
6.98	1.17E-15
6.99	1.17E-15
7	1.17E-15
7.01	1.18E-15
7.02	1.18E-15
7.03	1.18E-15
7.04	1.18E-15
7.05	1.18E-15
7.06	1.18E-15
7.07	1.18E-15
7.08	1.19E-15
7.09	1.19E-15
7.1	1.19E-15
7.11	1.19E-15
7.12	1.19E-15
7.13	1.19E-15
7.14	1.20E-15
7.15	1.20E-15
7.16	1.20E-15
7.17	1.20E-15
7.18	1.20E-15
7.19	1.21E-15
7.2	1.21E-15
7.21	1.21E-15
7.22	1.21E-15
7.23	1.21E-15
7.24	1.22E-15
7.25	1.22E-15
7.26	1.22E-15
7.27	1.22E-15
7.28	1.22E-15
7.29	1.23E-15
7.3	1.23E-15
7.31	1.23E-15
7.32	1.23E-15
7.33	1.24E-15
7.34	1.24E-15
7.35	1.24E-15
7.36	1.24E-15
7.37	1.25E-15
7.38	1.25E-15
7.39	1.25E-15
7.4	1.25E-15
7.41	1.26E-15
7.42	1.26E-15
