//3	4	1	1	0	0	0	0
//Energy[eV]	XS[cm2]
0	5.4597701149425155e-16
0.001	5.4644120869697616e-16
0.002	5.4690619590220152e-16
0.0030000000000000001	5.4737197513261097e-16
0.0040000000000000001	5.4783854841233658e-16
0.0050000000000000001	5.4830591777352211e-16
0.0060000000000000001	5.4877408525535575e-16
0.0070000000000000001	5.4924305290399576e-16
0.0080000000000000002	5.4904105611428669e-16
0.0089999999999999993	5.46291461908397e-16
0.01	5.4689128990969422e-16
0.010999999999999999	5.4578456221607795e-16
0.012	5.457936503274659e-16
0.012999999999999999	5.4626247484549387e-16
0.014	5.4673210547547115e-16
0.014999999999999999	5.4724941469813426e-16
0.016	5.4767379340191906e-16
0.017000000000000001	5.4487241730652612e-16
0.017999999999999999	5.4458064833419432e-16
0.019	5.4454271092646209e-16
0.02	5.4367567745217489e-16
0.021000000000000001	5.4382820529280824e-16
0.021999999999999999	5.4412388707039093e-16
0.023	5.4432581622510106e-16
0.024	5.4476884751901262e-16
0.025000000000000001	5.4438432934244252e-16
0.025999999999999999	5.4240864845528977e-16
0.027	5.4065452855062487e-16
0.028000000000000001	5.3983278561127267e-16
0.029000000000000001	5.3961902495267136e-16
0.029999999999999999	5.3986165217756154e-16
0.031	5.3995624988928987e-16
0.032000000000000001	5.3937534697982044e-16
0.033000000000000002	5.3861899810416899e-16
0.034000000000000002	5.3800051041781719e-16
0.035000000000000003	5.3742163580301925e-16
0.035999999999999997	5.3681370915029146e-16
0.036999999999999998	5.3618931919021591e-16
0.037999999999999999	5.3571085992878275e-16
0.039	5.3573199971841439e-16
0.040000000000000001	5.3597560461585224e-16
0.041000000000000002	5.3614451188838435e-16
0.042000000000000003	5.3590290416215286e-16
0.042999999999999997	5.3543278063198171e-16
0.043999999999999997	5.3477309291162244e-16
0.044999999999999998	5.337487099188541e-16
0.045999999999999999	5.3261523695013953e-16
0.047	5.3157721430564725e-16
0.048000000000000001	5.3111595951175789e-16
0.049000000000000002	5.3124707829715779e-16
0.050000000000000003	5.314784206081665e-16
0.050999999999999997	5.3163455786328414e-16
0.051999999999999998	5.3092321522170006e-16
0.052999999999999999	5.2997584595800426e-16
0.053999999999999999	5.2900351835982641e-16
0.055	5.2821314997518873e-16
0.056000000000000001	5.2824639777474123e-16
0.057000000000000002	5.2842970546439753e-16
0.058000000000000003	5.2864994855243218e-16
0.058999999999999997	5.2879388480504461e-16
0.059999999999999998	5.2825641130347085e-16
0.060999999999999999	5.2748721467574023e-16
0.062	5.2663801853833864e-16
0.063	5.2577917361486249e-16
0.064000000000000001	5.2514187431329071e-16
0.065000000000000002	5.2476005802168443e-16
0.066000000000000003	5.2445492634986957e-16
0.067000000000000004	5.2420536058581308e-16
0.068000000000000005	5.239902239901275e-16
0.069000000000000006	5.2376564801460683e-16
0.070000000000000007	5.2352821512979954e-16
0.070999999999999994	5.2327455854346743e-16
0.071999999999999995	5.2299152762909518e-16
0.072999999999999995	5.226659605225397e-16
0.073999999999999996	5.2218215211266056e-16
0.074999999999999997	5.2157866165255358e-16
0.075999999999999998	5.2094688117220696e-16
0.076999999999999999	5.203103721402456e-16
0.078	5.1969271618084774e-16
0.079000000000000001	5.1913646270749047e-16
0.080000000000000002	5.1881244250866701e-16
0.081000000000000003	5.1851006346090753e-16
0.082000000000000003	5.1825458576822051e-16
0.083000000000000004	5.1803520396772325e-16
