//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2] 
0	5.63413E-16
1E-3	5.63413E-16
0.00106	5.63413E-16
0.1183	5.691E-16
0.1446	5.925E-16
0.1696	6.317E-16
0.2021	6.759E-16
0.2399	7.275E-16
0.2873	7.744E-16
0.3551	8.341E-16
0.441	9.187E-16
0.5193	1.001E-15
0.5928	1.075E-15
0.6365	1.112E-15
0.6883	1.143E-15
0.7535	1.147E-15
0.8317	1.125E-15
0.9448	1.069E-15
1.013	1.023E-15
1.118	9.684E-16
1.25	8.915E-16
1.42	8.11E-16
1.613	7.349E-16
1.818	6.765E-16
2.116	6.478E-16
2.743	6.427E-16
3.439	6.376E-16
4.024	6.366E-16
4.537	6.37E-16
7.037	6.37E-16
46.32	6.37E-16
