//1	2	1	1	0	0	0	0
//Energy [eV]	Trasnport XS[cm^2]
0.01	4.6e-16
0.010269736041559445	4.523262668344574e-16
0.010546747836330505	4.449741339765784e-16
0.010831231637600242	4.3794928326147104e-16
0.011123388992314211	4.3125473507245726e-16
0.011423426883865485	4.2489040229256366e-16
0.011731557878735246	4.188525934444089e-16
0.012048000277088803	4.1313346000501754e-16
0.012372978267433698	4.0772038242111675e-16
0.012706722085449557	4.025952888487381e-16
0.01304946817710207	3.977339000949266e-16
0.013401459366156816	3.9310489364522406e-16
0.013762945026211504	3.886689790142066e-16
0.014134181257368551	3.8437787595320216e-16
0.014515431067673178	3.8017318628451463e-16
0.014906964559445493	3.7598514929974307e-16
0.015309059120638667	3.71738553465117e-16
0.015721999621358725	3.674076686895706e-16
0.016146078615685157	3.6299453385064113e-16
0.016581596548935408	3.5850193265139755e-16
0.017028861970519966	3.5393325607638214e-16
0.017488191752538986	3.492925693734698e-16
0.017959911314275226	3.4458468539653663e-16
0.018444354852742345	3.398152448780815e-16
0.01894186557945199	3.3499080425038335e-16
0.019452795963567235	3.3011893168744563e-16
0.01997750798161485	3.2520831209821556e-16
0.020516373373933153	3.2026788797382507e-16
0.02106977390803717	3.153031946479894e-16
0.02163810164908781	3.1031896449920336e-16
0.022221759237656395	3.053203044395642e-16
0.02282116017498164	3.00312715649312e-16
0.023436729115921	2.9530211395451076e-16
0.024068902169803938	2.9029485093113394e-16
0.024718127209400382	2.852977357352225e-16
0.025384864188223027	2.803180576552305e-16
0.026069585466388562	2.7536360937861633e-16
0.02677277614526849	2.7044271096014254e-16
0.027494934411166662	2.6556423447414394e-16
0.028236571888267125	2.60737629327155e-16
0.028998214001102113	2.5597294820068623e-16
0.029780400346797204	2.5128087358652633e-16
0.030583685077357262	2.4667215056505257e-16
0.031408637292263945	2.4215223236468535e-16
0.03225584144166311	2.3772282475532644e-16
0.033125897740427436	2.33384578790838e-16
0.034019422593388006	2.291369509456351e-16
0.034937049032035865	2.2497801199871446e-16
0.035879427163002804	2.2090423437621682e-16
0.03684722462863968	2.1691025583558855e-16
0.03784112708001777	2.129886171801489e-16
0.03886183866268894	2.0912947148142645e-16
0.03991008251554851	2.0532026205656001e-16
0.04098660128315398	2.0154650526094987e-16
0.0420921576418633	1.977965632836598e-16
0.043227534840164526	1.9405816857030175e-16
0.0443935372535804	1.9031637386700332e-16
0.045590990954540674	1.865532139401925e-16
0.04682074429762567	1.827473332039116e-16
0.04808366852059652	1.788735750918362e-16
0.049380658361636735	1.749025295770626e-16
0.05071263269324343	1.7080115641489244e-16
0.052080535173216806	1.6655453714474937e-16
0.05348533491320887	1.621681480998119e-16
0.05492802716530588	1.5764992881730534e-16
0.056409634027129806	1.530097611882894e-16
0.05793120516595927	1.4825970677454605e-16
0.059493818562382686	1.4341426815478615e-16
0.061098581274009946	1.3849067653700693e-16
0.06274663021978488	1.3350920807296123e-16
