//1	2	1	1	0	0	0	0
//Energy [eV]	Elastic XS[cm^2]
0.01	4.357782366674903e-16
0.010269736041559445	4.328442142844521e-16
0.010546747836330505	4.298783889467316e-16
0.010831231637600242	4.26880744156221e-16
0.011123388992314211	4.2385127759909433e-16
0.011423426883865485	4.2079000165537933e-16
0.011731557878735246	4.176969439139724e-16
0.012048000277088803	4.1457214769258625e-16
0.012372978267433698	4.1141567256208737e-16
0.012706722085449557	4.082275948746422e-16
0.01304946817710207	4.050080082950564e-16
0.013401459366156816	4.017570243346429e-16
0.013762945026211504	3.9847477288692747e-16
0.014134181257368551	3.951614027644544e-16
0.014515431067673178	3.9181708223591403e-16
0.014906964559445493	3.884419995627758e-16
0.015309059120638667	3.850363635345752e-16
0.015721999621358725	3.816004040019498e-16
0.016146078615685157	3.7813437240649567e-16
0.016581596548935408	3.746385423064631e-16
0.017028861970519966	3.7111320989728034e-16
0.017488191752538986	3.675586945258497e-16
0.017959911314275226	3.639753391975269e-16
0.018444354852742345	3.603635110746588e-16
0.01894186557945199	3.567236019655142e-16
0.019452795963567235	3.5305602880241634e-16
0.01997750798161485	3.4936123410784993e-16
0.020516373373933153	3.456396864472838e-16
0.02106977390803717	3.4189188086742906e-16
0.02163810164908781	3.3811833931861973e-16
0.022221759237656395	3.3431961105998766e-16
0.02282116017498164	3.304962730460759e-16
0.023436729115921	3.266489302935267e-16
0.024068902169803938	3.227782162264579e-16
0.024718127209400382	3.18884792999141e-16
0.025384864188223027	3.1496935179458005e-16
0.026069585466388562	3.110326130975947e-16
0.02677277614526849	3.0707532694100913e-16
0.027494934411166662	3.030982731235597e-16
0.028236571888267125	2.9910226139814103e-16
0.028998214001102113	2.9508813162903245e-16
0.029780400346797204	2.910567539167639e-16
0.030583685077357262	2.870090286893105e-16
0.031408637292263945	2.829458867583374e-16
0.03225584144166311	2.7886828933925375e-16
0.033125897740427436	2.747772280338812e-16
0.034019422593388006	2.7067372477459e-16
0.034937049032035865	2.665588317288137e-16
0.035879427163002804	2.6243363116291616e-16
0.03684722462863968	2.582992352644503e-16
0.03784112708001777	2.541567859219271e-16
0.03886183866268894	2.500074544612889e-16
0.03991008251554851	2.4585244133837214e-16
0.04098660128315398	2.4169297578673536e-16
0.0420921576418633	2.3753031542032474e-16
0.043227534840164526	2.3336574579056066e-16
0.0443935372535804	2.292005798975289e-16
0.045590990954540674	2.250361576550828e-16
0.04682074429762567	2.2087384530978107e-16
0.04808366852059652	2.167150348137052e-16
0.049380658361636735	2.125611431513401e-16
0.05071263269324343	2.084136116208231e-16
0.052080535173216806	2.0427390507001247e-16
0.05348533491320887	2.001435110879612e-16
0.05492802716530588	1.9602393915252504e-16
0.056409634027129806	1.9191671973498065e-16
