//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2] 
0	4.52E-16
0.01	4.52E-16
0.1	4.52E-16
3.31131	4.52E-16
3.34965	4.57E-16
3.38844	4.62E-16
3.42768	4.67E-16
3.46737	4.73E-16
3.50752	4.78E-16
3.54813	4.83E-16
3.58922	4.89E-16
3.63078	4.94E-16
3.67282	4.99E-16
3.71535	5.04E-16
3.75837	5.10E-16
3.80189	5.15E-16
3.84592	5.20E-16
3.89045	5.26E-16
3.9355	5.32E-16
3.98107	5.38E-16
4.02717	5.44E-16
4.0738	5.50E-16
4.12098	5.57E-16
4.16869	5.63E-16
4.21697	5.70E-16
4.2658	5.77E-16
4.31519	5.84E-16
4.36516	5.92E-16
4.4157	5.99E-16
4.46684	6.06E-16
4.51856	6.12E-16
4.57088	6.19E-16
4.62381	6.26E-16
4.67735	6.32E-16
4.73151	6.38E-16
4.7863	6.45E-16
4.84172	6.51E-16
4.89779	6.58E-16
4.9545	6.64E-16
5.01187	6.71E-16
5.06991	6.79E-16
5.12861	6.86E-16
5.188	6.94E-16
5.24807	7.02E-16
5.30884	7.11E-16
5.37032	7.19E-16
5.4325	7.28E-16
5.49541	7.37E-16
5.55904	7.46E-16
5.62341	7.55E-16
5.68853	7.65E-16
5.7544	7.75E-16
5.82103	7.84E-16
5.88844	7.94E-16
5.95662	8.04E-16
6.0256	8.14E-16
6.09537	8.23E-16
6.16595	8.33E-16
6.23735	8.43E-16
6.30957	8.53E-16
6.38263	8.64E-16
6.45654	8.74E-16
6.53131	8.85E-16
6.60693	8.96E-16
6.68344	9.08E-16
6.76083	9.20E-16
6.83912	9.32E-16
6.91831	9.46E-16
6.99842	9.60E-16
7.07946	9.75E-16
7.16143	9.90E-16
7.24436	1.01E-15
7.32825	1.02E-15
7.4131	1.04E-15
7.49894	1.06E-15
7.58578	1.08E-15
7.67361	1.10E-15
7.76247	1.12E-15
7.85236	1.14E-15
7.94328	1.16E-15
8.03526	1.18E-15
8.12831	1.20E-15
8.22243	1.22E-15
8.31764	1.24E-15
8.41395	1.26E-15
8.51138	1.28E-15
8.60994	1.30E-15
8.70964	1.32E-15
8.81049	1.33E-15
8.91251	1.35E-15
9.01571	1.37E-15
9.12011	1.39E-15
9.22571	1.41E-15
9.33254	1.42E-15
9.44061	1.44E-15
9.54993	1.45E-15
9.66051	1.47E-15
9.77237	1.48E-15
9.88553	1.49E-15
10	1.50E-15
10.11579	1.51E-15
10.23293	1.52E-15
10.35142	1.52E-15
10.47129	1.53E-15
10.59254	1.53E-15
10.71519	1.54E-15
10.83927	1.54E-15
10.96478	1.54E-15
11.09175	1.54E-15
11.22018	1.54E-15
11.35011	1.54E-15
11.48154	1.53E-15
11.61449	1.53E-15
11.74898	1.53E-15
11.88502	1.52E-15
12.02264	1.52E-15
12.16186	1.52E-15
12.30269	1.51E-15
12.44515	1.51E-15
12.58925	1.50E-15
12.73503	1.50E-15
12.8825	1.49E-15
13.03167	1.49E-15
13.18257	1.48E-15
13.33521	1.48E-15
13.48963	1.47E-15
13.64583	1.46E-15
13.80384	1.46E-15
13.96368	1.45E-15
14.12538	1.45E-15
14.28894	1.44E-15
14.4544	1.43E-15
14.62177	1.43E-15
14.79108	1.42E-15
14.96236	1.41E-15
15.13561	1.40E-15
15.31087	1.40E-15
15.48817	1.39E-15
15.66751	1.38E-15
15.84893	1.37E-15
16.03245	1.36E-15
16.2181	1.35E-15
16.4059	1.34E-15
16.59587	1.33E-15
16.78804	1.32E-15
16.98244	1.31E-15
17.17908	1.30E-15
17.37801	1.29E-15
17.57924	1.27E-15
17.78279	1.26E-15
17.98871	1.24E-15
18.19701	1.23E-15
18.40772	1.21E-15
18.62087	1.20E-15
18.83649	1.18E-15
19.05461	1.16E-15
19.27525	1.15E-15
19.49845	1.13E-15
19.72423	1.12E-15
19.95262	1.10E-15
20.18366	1.09E-15
20.41738	1.08E-15
20.6538	1.06E-15
20.89296	1.05E-15
21.13489	1.04E-15
21.37962	1.03E-15
21.62719	1.02E-15
21.87762	1.01E-15
22.13095	1.00E-15
22.38721	9.97E-16
22.64644	9.90E-16
22.90868	9.84E-16
23.17395	9.78E-16
23.44229	9.72E-16
23.71374	9.67E-16
23.98833	9.62E-16
24.2661	9.57E-16
24.54709	9.52E-16
24.83133	9.48E-16
25.11886	9.43E-16
25.40973	9.39E-16
25.70396	9.34E-16
26.0016	9.30E-16
26.30268	9.25E-16
26.60725	9.21E-16
26.91535	9.16E-16
27.22701	9.12E-16
27.54229	9.07E-16
27.86121	9.03E-16
28.18383	8.98E-16
28.51018	8.94E-16
28.84032	8.89E-16
29.17427	8.85E-16
29.51209	8.80E-16
29.85383	8.76E-16
30.19952	8.71E-16
30.54921	8.67E-16
30.90295	8.62E-16
31.26079	8.58E-16
31.62278	8.54E-16
31.98895	8.49E-16
32.35937	8.45E-16
32.73407	8.40E-16
33.11311	8.36E-16
33.49654	8.31E-16
33.88442	8.27E-16
34.27678	8.22E-16
34.67369	8.18E-16
35.07519	8.14E-16
35.48134	8.09E-16
35.89219	8.05E-16
36.30781	8.01E-16
36.72823	7.96E-16
37.15352	7.92E-16
37.58374	7.88E-16
38.01894	7.84E-16
38.45918	7.79E-16
38.90451	7.75E-16
39.35501	7.71E-16
39.81072	7.67E-16
40.2717	7.63E-16
40.73803	7.59E-16
41.20975	7.54E-16
41.68694	7.50E-16
42.16965	7.46E-16
42.65795	7.42E-16
43.15191	7.38E-16
43.65158	7.34E-16
44.15704	7.30E-16
44.66836	7.27E-16
45.18559	7.23E-16
45.70882	7.19E-16
46.2381	7.15E-16
46.77351	7.11E-16
47.31513	7.08E-16
47.86301	7.04E-16
48.41724	7.00E-16
48.97788	6.96E-16
49.54502	6.93E-16
50.11872	6.89E-16
50.69907	6.86E-16
51.28614	6.82E-16
51.88	6.79E-16
52.48075	6.75E-16
53.08844	6.72E-16
53.70318	6.68E-16
54.32503	6.65E-16
54.95409	6.62E-16
55.59043	6.58E-16
56.23413	6.55E-16
56.88529	6.52E-16
57.54399	6.49E-16
58.21032	6.46E-16
58.88437	6.42E-16
59.56621	6.39E-16
60.25596	6.36E-16
60.95369	6.33E-16
61.6595	6.30E-16
62.37348	6.27E-16
63.09573	6.25E-16
63.82635	6.22E-16
64.56542	6.19E-16
65.31306	6.16E-16
66.06934	6.13E-16
66.83439	6.11E-16
67.6083	6.08E-16
68.39116	6.05E-16
69.1831	6.03E-16
69.9842	6.00E-16
70.79458	5.98E-16
71.61434	5.95E-16
72.4436	5.92E-16
73.28245	5.90E-16
74.13102	5.87E-16
74.98942	5.85E-16
75.85776	5.83E-16
76.73615	5.80E-16
77.62471	5.78E-16
78.52356	5.75E-16
79.43282	5.73E-16
80.35261	5.71E-16
81.28305	5.68E-16
82.22426	5.66E-16
83.17638	5.63E-16
84.13951	5.61E-16
85.1138	5.59E-16
86.09938	5.56E-16
87.09636	5.54E-16
88.10489	5.52E-16
89.12509	5.49E-16
90.15711	5.47E-16
91.20108	5.45E-16
92.25714	5.42E-16
93.32543	5.40E-16
94.40609	5.37E-16
95.49926	5.35E-16
96.60509	5.32E-16
97.72372	5.30E-16
98.85531	5.28E-16
100	5.25E-16
