//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
2.88	5.68E-16
2.89	5.68E-16
2.9	5.67E-16
2.91	5.67E-16
2.92	5.67E-16
2.93	5.67E-16
2.94	5.66E-16
2.95	5.66E-16
2.96	5.66E-16
2.97	5.65E-16
2.98	5.65E-16
2.99	5.64E-16
3	5.64E-16
3.01	5.64E-16
3.02	5.63E-16
3.03	5.63E-16
3.04	5.62E-16
3.05	5.62E-16
3.06	5.61E-16
3.07	5.61E-16
3.08	5.60E-16
3.09	5.60E-16
3.1	5.59E-16
3.11	5.59E-16
3.12	5.58E-16
3.13	5.58E-16
3.14	5.57E-16
3.15	5.57E-16
3.16	5.56E-16
3.17	5.56E-16
3.18	5.55E-16
3.19	5.55E-16
3.2	5.54E-16
3.21	5.54E-16
3.22	5.53E-16
3.23	5.53E-16
3.24	5.52E-16
3.25	5.52E-16
3.26	5.51E-16
3.27	5.51E-16
3.28	5.50E-16
3.29	5.50E-16
3.3	5.49E-16
3.31	5.49E-16
3.32	5.48E-16
3.33	5.48E-16
3.34	5.48E-16
3.35	5.47E-16
3.36	5.47E-16
3.37	5.47E-16
3.38	5.46E-16
3.39	5.46E-16
3.4	5.46E-16
3.41	5.46E-16
3.42	5.45E-16
3.43	5.45E-16
3.44	5.45E-16
3.45	5.45E-16
3.46	5.45E-16
3.47	5.45E-16
3.48	5.45E-16
3.49	5.45E-16
3.5	5.45E-16
3.51	5.45E-16
3.52	5.45E-16
3.53	5.45E-16
3.54	5.45E-16
3.55	5.45E-16
3.56	5.45E-16
3.57	5.46E-16
3.58	5.46E-16
3.59	5.46E-16
3.6	5.47E-16
3.61	5.47E-16
3.62	5.47E-16
3.63	5.48E-16
3.64	5.48E-16
3.65	5.49E-16
3.66	5.50E-16
3.67	5.50E-16
3.68	5.51E-16
3.69	5.52E-16
3.7	5.53E-16
3.71	5.54E-16
3.72	5.55E-16
3.73	5.56E-16
3.74	5.57E-16
3.75	5.58E-16
3.76	5.59E-16
3.77	5.60E-16
3.78	5.61E-16
3.79	5.63E-16
3.8	5.64E-16
3.81	5.65E-16
3.82	5.67E-16
3.83	5.68E-16
3.84	5.70E-16
3.85	5.72E-16
3.86	5.73E-16
3.87	5.75E-16
3.88	5.77E-16
3.89	5.79E-16
3.9	5.81E-16
3.91	5.82E-16
3.92	5.84E-16
3.93	5.86E-16
3.94	5.88E-16
3.95	5.90E-16
3.96	5.92E-16
3.97	5.94E-16
3.98	5.96E-16
3.99	5.98E-16
4	6.00E-16
4.01	6.02E-16
4.02	6.04E-16
4.03	6.06E-16
4.04	6.08E-16
4.05	6.10E-16
4.06	6.12E-16
4.07	6.14E-16
4.08	6.16E-16
4.09	6.18E-16
4.1	6.20E-16
4.11	6.21E-16
4.12	6.23E-16
4.13	6.25E-16
4.14	6.27E-16
4.15	6.29E-16
4.16	6.31E-16
4.17	6.33E-16
4.18	6.35E-16
4.19	6.37E-16
4.2	6.39E-16
4.21	6.41E-16
4.22	6.42E-16
4.23	6.44E-16
4.24	6.46E-16
4.25	6.48E-16
4.26	6.50E-16
4.27	6.52E-16
4.28	6.54E-16
4.29	6.56E-16
4.3	6.57E-16
4.31	6.59E-16
4.32	6.61E-16
4.33	6.63E-16
4.34	6.65E-16
4.35	6.67E-16
4.36	6.69E-16
4.37	6.70E-16
4.38	6.72E-16
4.39	6.74E-16
4.4	6.76E-16
4.41	6.78E-16
4.42	6.80E-16
4.43	6.81E-16
4.44	6.83E-16
4.45	6.85E-16
4.46	6.87E-16
4.47	6.89E-16
4.48	6.91E-16
4.49	6.92E-16
4.5	6.94E-16
4.51	6.96E-16
4.52	6.98E-16
4.53	7.00E-16
4.54	7.01E-16
4.55	7.03E-16
4.56	7.05E-16
4.57	7.07E-16
4.58	7.09E-16
4.59	7.10E-16
4.6	7.12E-16
4.61	7.14E-16
4.62	7.16E-16
4.63	7.18E-16
4.64	7.19E-16
4.65	7.21E-16
4.66	7.23E-16
4.67	7.25E-16
4.68	7.27E-16
4.69	7.28E-16
4.7	7.30E-16
4.71	7.32E-16
4.72	7.34E-16
4.73	7.35E-16
4.74	7.37E-16
4.75	7.39E-16
4.76	7.41E-16
4.77	7.43E-16
4.78	7.44E-16
4.79	7.46E-16
4.8	7.48E-16
4.81	7.50E-16
4.82	7.51E-16
4.83	7.53E-16
4.84	7.55E-16
4.85	7.57E-16
4.86	7.58E-16
4.87	7.60E-16
4.88	7.62E-16
4.89	7.64E-16
4.9	7.65E-16
4.91	7.67E-16
4.92	7.69E-16
4.93	7.71E-16
4.94	7.72E-16
4.95	7.74E-16
4.96	7.76E-16
4.97	7.78E-16
4.98	7.79E-16
4.99	7.81E-16
5	7.83E-16
5.01	7.85E-16
5.02	7.87E-16
5.03	7.88E-16
5.04	7.90E-16
5.05	7.92E-16
5.06	7.94E-16
5.07	7.95E-16
5.08	7.97E-16
5.09	7.99E-16
5.1	8.01E-16
5.11	8.02E-16
5.12	8.04E-16
5.13	8.06E-16
5.14	8.08E-16
5.15	8.09E-16
5.16	8.11E-16
5.17	8.13E-16
5.18	8.15E-16
5.19	8.16E-16
5.2	8.18E-16
5.21	8.20E-16
5.22	8.22E-16
5.23	8.23E-16
5.24	8.25E-16
5.25	8.27E-16
5.26	8.29E-16
5.27	8.30E-16
5.28	8.32E-16
5.29	8.34E-16
5.3	8.36E-16
5.31	8.37E-16
5.32	8.39E-16
5.33	8.41E-16
5.34	8.43E-16
5.35	8.44E-16
5.36	8.46E-16
5.37	8.48E-16
5.38	8.50E-16
5.39	8.51E-16
5.4	8.53E-16
5.41	8.55E-16
5.42	8.57E-16
5.43	8.58E-16
5.44	8.60E-16
5.45	8.62E-16
5.46	8.64E-16
5.47	8.65E-16
5.48	8.67E-16
5.49	8.69E-16
5.5	8.71E-16
5.51	8.72E-16
5.52	8.74E-16
5.53	8.76E-16
5.54	8.78E-16
5.55	8.79E-16
5.56	8.81E-16
5.57	8.83E-16
5.58	8.85E-16
5.59	8.86E-16
5.6	8.88E-16
5.61	8.90E-16
5.62	8.92E-16
5.63	8.93E-16
5.64	8.95E-16
5.65	8.97E-16
5.66	8.99E-16
5.67	9.00E-16
5.68	9.02E-16
5.69	9.04E-16
5.7	9.06E-16
5.71	9.07E-16
5.72	9.09E-16
5.73	9.11E-16
5.74	9.13E-16
5.75	9.14E-16
5.76	9.16E-16
5.77	9.18E-16
5.78	9.20E-16
5.79	9.21E-16
5.8	9.23E-16
5.81	9.25E-16
5.82	9.27E-16
5.83	9.28E-16
5.84	9.30E-16
5.85	9.32E-16
5.86	9.34E-16
5.87	9.35E-16
5.88	9.37E-16
5.89	9.39E-16
5.9	9.41E-16
5.91	9.42E-16
5.92	9.44E-16
5.93	9.46E-16
5.94	9.48E-16
5.95	9.49E-16
5.96	9.51E-16
5.97	9.53E-16
5.98	9.55E-16
5.99	9.56E-16
6	9.58E-16
6.01	9.60E-16
6.02	9.61E-16
6.03	9.63E-16
6.04	9.65E-16
6.05	9.67E-16
6.06	9.68E-16
6.07	9.70E-16
