//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2] 
0	4.5049E-16
1E-3	4.5049E-16
0.01036	4.5049E-16
0.01209	4.5049E-16
0.01377	4.5049E-16
0.01569	4.5049E-16
0.01788	4.5049E-16
0.02037	4.5049E-16
0.02321	4.5049E-16
0.02644	4.5049E-16
0.03012	4.5049E-16
0.03432	4.5049E-16
0.0391	4.5049E-16
0.04455	4.5049E-16
0.05076	4.5049E-16
0.05783	4.5049E-16
0.06589	4.5049E-16
0.07507	4.5049E-16
0.08553	4.5049E-16
0.09745	4.5873E-16
0.11103	4.7149E-16
0.12558	4.9086E-16
0.14205	5.138E-16
0.16067	5.4192E-16
0.18173	5.7967E-16
0.20556	6.2545E-16
0.23251	6.6255E-16
0.26491	7.0962E-16
0.30182	7.5604E-16
0.34387	7.9988E-16
0.38596	8.4995E-16
0.43974	8.9535E-16
0.49727	9.4317E-16
0.56232	9.9587E-16
0.64099	1.0555E-15
0.72015	1.1186E-15
0.79705	1.1747E-15
0.88216	1.2193E-15
0.97635	1.2629E-15
1.0964	1.3129E-15
1.2492	1.3533E-15
1.4232	1.3889E-15
1.6215	1.4071E-15
1.8474	1.4132E-15
2.1048	1.4255E-15
2.3981	1.4255E-15
2.7528	1.4255E-15
3.113	1.4255E-15
3.5467	1.4255E-15
4.0409	1.4255E-15
4.6039	1.4255E-15
5.2454	1.4255E-15
5.9762	1.4255E-15
6.8089	1.4255E-15
7.7576	1.4194E-15
8.7747	1.4449E-15
9.7823	1.4879E-15
10	1.5E-15
10.11579	1.50902E-15
10.23293	1.51675E-15
10.35142	1.52322E-15
10.47129	1.52848E-15
10.59254	1.53256E-15
10.71519	1.53554E-15
10.83927	1.53745E-15
10.96478	1.53836E-15
11.09175	1.53834E-15
11.22018	1.53747E-15
11.35011	1.53582E-15
11.48154	1.53349E-15
11.61449	1.53057E-15
11.74898	1.52716E-15
11.88502	1.52337E-15
12.02264	1.51933E-15
12.16186	1.51512E-15
12.30269	1.51076E-15
12.44515	1.50624E-15
12.58925	1.50157E-15
12.73503	1.49674E-15
12.8825	1.49174E-15
13.03167	1.48659E-15
13.18257	1.48127E-15
13.33521	1.47579E-15
13.48963	1.47014E-15
13.64583	1.46432E-15
13.80384	1.45833E-15
13.96368	1.45218E-15
14.12538	1.44585E-15
14.28894	1.43934E-15
14.4544	1.43267E-15
14.62177	1.42582E-15
14.79108	1.41879E-15
14.96236	1.41159E-15
15.13561	1.40422E-15
15.31087	1.39663E-15
15.48817	1.3888E-15
15.66751	1.38067E-15
15.84893	1.3722E-15
16.03245	1.36334E-15
16.2181	1.35402E-15
16.4059	1.34421E-15
16.59587	1.33382E-15
16.78804	1.3228E-15
16.98244	1.31109E-15
17.17908	1.29862E-15
17.37801	1.28543E-15
17.57924	1.27159E-15
17.78279	1.25717E-15
17.98871	1.24227E-15
18.19701	1.22696E-15
18.40772	1.21134E-15
18.62087	1.19551E-15
18.83649	1.17959E-15
19.05461	1.16368E-15
19.27525	1.14792E-15
19.49845	1.13244E-15
19.72423	1.11738E-15
19.95262	1.1029E-15
20.18366	1.08914E-15
20.41738	1.07614E-15
20.6538	1.06388E-15
20.89296	1.05236E-15
21.13489	1.04155E-15
21.37962	1.03143E-15
21.62719	1.02198E-15
21.87762	1.01317E-15
22.13095	1.00497E-15
22.38721	9.97352E-16
22.64644	9.90274E-16
22.90868	9.83699E-16
23.17395	9.77583E-16
23.44229	9.7188E-16
23.71374	9.66539E-16
23.98833	9.61505E-16
24.2661	9.56717E-16
24.54709	9.52111E-16
24.83133	9.47619E-16
25.11886	9.43165E-16
25.40973	9.38708E-16
25.70396	9.34243E-16
26.0016	9.29773E-16
26.30268	9.25297E-16
26.60725	9.20817E-16
26.91535	9.16333E-16
27.22701	9.11845E-16
27.54229	9.07354E-16
27.86121	9.02862E-16
28.18383	8.98368E-16
28.51018	8.93874E-16
28.84032	8.89379E-16
29.17427	8.84886E-16
29.51209	8.80394E-16
29.85383	8.75904E-16
30.19952	8.71417E-16
30.54921	8.66934E-16
30.90295	8.62456E-16
31.26079	8.57983E-16
31.62278	8.53516E-16
31.98895	8.49057E-16
32.35937	8.44605E-16
32.73407	8.40162E-16
33.11311	8.35729E-16
33.49654	8.31306E-16
33.88442	8.26894E-16
34.27678	8.22495E-16
34.67369	8.18108E-16
35.07519	8.13736E-16
35.48134	8.09378E-16
35.89219	8.05036E-16
36.30781	8.0071E-16
36.72823	7.96402E-16
37.15352	7.92112E-16
37.58374	7.8784E-16
38.01894	7.83589E-16
38.45918	7.79358E-16
38.90451	7.75149E-16
39.35501	7.70962E-16
39.81072	7.66798E-16
40.2717	7.62657E-16
40.73803	7.58541E-16
41.20975	7.5445E-16
41.68694	7.50385E-16
42.16965	7.46347E-16
42.65795	7.42336E-16
43.15191	7.38352E-16
43.65158	7.34397E-16
44.15704	7.3047E-16
44.66836	7.26572E-16
45.18559	7.22704E-16
45.70882	7.18866E-16
46.2381	7.15059E-16
46.77351	7.11281E-16
47.31513	7.07535E-16
47.86301	7.03819E-16
48.41724	7.00134E-16
48.97788	6.96479E-16
49.54502	6.92856E-16
50.11872	6.89262E-16
50.69907	6.85699E-16
51.28614	6.82167E-16
51.88	6.78667E-16
52.48075	6.752E-16
53.08844	6.71765E-16
53.70318	6.68364E-16
54.32503	6.64998E-16
54.95409	6.61666E-16
55.59043	6.5837E-16
56.23413	6.5511E-16
56.88529	6.51886E-16
57.54399	6.48699E-16
58.21032	6.45548E-16
58.88437	6.42435E-16
59.56621	6.39359E-16
60.25596	6.3632E-16
60.95369	6.33319E-16
61.6595	6.30355E-16
62.37348	6.27428E-16
63.09573	6.24537E-16
63.82635	6.21684E-16
64.56542	6.18866E-16
65.31306	6.16083E-16
66.06934	6.13335E-16
66.83439	6.1062E-16
67.6083	6.07939E-16
68.39116	6.05288E-16
69.1831	6.02668E-16
69.9842	6.00077E-16
70.79458	5.97513E-16
71.61434	5.94975E-16
72.4436	5.92459E-16
73.28245	5.89965E-16
74.13102	5.8749E-16
74.98942	5.8503E-16
75.85776	5.82584E-16
76.73615	5.80151E-16
77.62471	5.77729E-16
78.52356	5.75319E-16
79.43282	5.7292E-16
80.35261	5.7053E-16
81.28305	5.6815E-16
82.22426	5.65777E-16
83.17638	5.6341E-16
84.13951	5.6105E-16
85.1138	5.58693E-16
86.09938	5.56338E-16
87.09636	5.53985E-16
88.10489	5.51631E-16
89.12509	5.49274E-16
90.15711	5.46912E-16
91.20108	5.44543E-16
92.25714	5.42164E-16
93.32543	5.39773E-16
94.40609	5.37367E-16
95.49926	5.34943E-16
96.60509	5.32498E-16
97.72372	5.30028E-16
98.85531	5.2753E-16
100	5.25E-16
