//1	2	1	1	0	0	0	0
//Energy [eV]	Trasnport XS[cm^2]
0.01	3.939683429285421e-16
0.010269736041559445	3.906520990500048e-16
0.010546747836330505	3.8730492301538024e-16
0.010831231637600242	3.8392693703964653e-16
0.011123388992314211	3.8051828021870205e-16
0.011423426883865485	3.7707910902142107e-16
0.011731557878735246	3.7360959778585045e-16
0.012048000277088803	3.701099392191612e-16
0.012372978267433698	3.665803449009452e-16
0.012706722085449557	3.630210457894214e-16
0.01304946817710207	3.5943229273008764e-16
0.013401459366156816	3.558143569663318e-16
0.013762945026211504	3.5216753065148464e-16
0.014134181257368551	3.484921273617716e-16
0.014515431067673178	3.447884826095903e-16
0.014906964559445493	3.41056954356513e-16
0.015309059120638667	3.3729792352538286e-16
0.015721999621358725	3.335117945108403e-16
0.016146078615685157	3.2969899568758945e-16
0.016581596548935408	3.2585997991567796e-16
0.017028861970519966	3.219952250420374e-16
0.017488191752538986	3.1810523439748956e-16
0.017959911314275226	3.141905372884034e-16
0.018444354852742345	3.102516894821416e-16
0.01894186557945199	3.0628927368540977e-16
0.019452795963567235	3.0230390001458465e-16
0.01997750798161485	2.9829620645705866e-16
0.020516373373933153	2.9426685932261344e-16
0.02106977390803717	2.9021655368378355e-16
0.02163810164908781	2.8614601380415274e-16
0.022221759237656395	2.8205599355347623e-16
0.02282116017498164	2.7794727680849336e-16
0.023436729115921	2.7382067783825286e-16
0.024068902169803938	2.696770416727428e-16
0.024718127209400382	2.655172444535751e-16
0.025384864188223027	2.613421937654401e-16
0.026069585466388562	2.571528289470095e-16
0.02677277614526849	2.5295012137993045e-16
0.027494934411166662	2.4873507475451425e-16
0.028236571888267125	2.4450872531069187e-16
0.028998214001102113	2.402721420527668e-16
0.029780400346797204	2.3602642693646643e-16
0.030583685077357262	2.317727150267524e-16
0.031408637292263945	2.2751217462482305e-16
0.03225584144166311	2.2324600736269906e-16
0.033125897740427436	2.1897544826376225e-16
0.034019422593388006	2.147017657675748e-16
0.034937049032035865	2.104262617172835e-16
0.035879427163002804	2.061502713078835e-16
0.03684722462863968	2.018751629935864e-16
0.03784112708001777	1.976023383525164e-16
0.03886183866268894	1.933332319069314e-16
0.03991008251554851	1.89069310897147e-16
0.04098660128315398	1.8481207500732367e-16
0.0420921576418633	1.8056305604125825e-16
0.043227534840164526	1.7632381754631496e-16
0.0443935372535804	1.7209595438361568e-16
0.045590990954540674	1.6788109224260731e-16
0.04682074429762567	1.6368088709812568e-16
0.04808366852059652	1.5949702460807452e-16
0.049380658361636735	1.5533121944985038e-16
0.05071263269324343	1.5118521459365947e-16
0.052080535173216806	1.4706078051089004e-16
0.05348533491320887	1.429597143157363e-16
0.05492802716530588	1.388838388382975e-16
0.056409634027129806	1.3483500162743053e-16
0.05793120516595927	1.308150738816669e-16
0.059493818562382686	1.2682594930658522e-16
0.061098581274009946	1.228695428970892e-16
0.06274663021978488	1.189477896431167e-16
0.06443913298545279	1.1506264315741645e-16
0.06617728865075462	1.1121607422411044e-16
0.06796232863893378	1.0741006926689325e-16
0.06979551758915656	1.0364662873584285e-16
0.07167815425246572	9.992776541196507e-17
0.07361157241190046	9.625550262875125e-17
0.07559714182743565	9.263187241021287e-17
0.07763626920640973	8.905891352503632e-17
0.07973039920012773	8.553866945673253e-17
0.08188101542734741	8.20731862898631e-17
0.08408964152537145	7.86645105126943e-17
0.08635784222949204	7.531468673688267e-17
0.0886872244815519	7.202575533509841e-17
0.09107943856840663	6.879974999779172e-17
0.09353617929109649	6.563869521064639e-17
0.09605918716555398	6.254460365461817e-17
0.09865024965569935	5.95194735308217e-17
0.10131120243979728	5.656528581294252e-17
0.10404393071097112	5.36840014302534e-17
0.10685037051279737	5.0877558384766105e-17
0.10973251011092557	4.814786880650408e-17
0.11269239140169583	4.549681595137354e-17
0.11573211135875187	4.292625114659286e-17
0.11885382351867453	4.0437990689183814e-17
0.12205973950668773	3.803381270354383e-17
0.12535213060351882	3.5715453964679463e-17
0.12873332935452234	3.348460669424164e-17
0.13220573122220802	3.134291533708356e-17
0.13577179628334304	2.9291973326628595e-17
0.13943405097183148	2.7333319847945568e-17
0.14319508986860544	2.546843660799033e-17
0.147057577539796	2.3698744623081048e-17
0.15102425042448658	2.202560103423443e-17
0.1550979187733849	2.045029596157261e-17
0.159281468639789	1.8974049409551807e-17
0.16357786392425616	1.7598008235298852e-17
0.1679901484744239	1.6323243192847693e-17
0.17252144824147134	1.515074606653928e-17
0.17717497349474703	1.4081426907282916e-17
0.1819540210961343	1.3116111385774337e-17
0.18686197683576378	1.225553827710037e-17
0.19190231783072884	1.1500357091460489e-17
0.19707861498850315	1.0851125865942054e-17
0.2023945355368048	1.030830913246881e-17
0.2078538456217008	9.87227607710375e-18
0.21346041297579135	9.543298905906643e-18
0.21921820965836467	9.321551432470318e-18
0.22513131486946422	9.207107902077215e-18
0.23120391783986044	9.199942067175809e-18
0.23744032079897634	9.299926528503203e-18
0.24384494202286838	9.506832355730501e-18
0.25042231896442235	9.82032900094674e-18
0.25717711146798233	1.0239984517625374e-17
0.2641141050706889	1.0765266096960373e-17
0.27123821439286716	1.1395540932581669e-17
0.27855448661986554	1.213007742368277e-17
0.28606810507781194	1.2968046725533705e-17
0.293784392905822	1.390852465517972e-17
