//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
5.26	1.08377E-15
5.28	1.08592E-15
5.3	1.08801E-15
5.32	1.09004E-15
5.34	1.09202E-15
5.36	1.09394E-15
5.38	1.09581E-15
5.4	1.09762E-15
5.42	1.09939E-15
5.44	1.10111E-15
5.46	1.10278E-15
5.48	1.10442E-15
5.5	1.10601E-15
5.52	1.10756E-15
5.54	1.10907E-15
5.56	1.11055E-15
5.58	1.11199E-15
5.6	1.1134E-15
5.62	1.11478E-15
5.64	1.11612E-15
5.66	1.11744E-15
5.68	1.11874E-15
5.7	1.12E-15
5.72	1.12124E-15
5.74	1.12246E-15
5.76	1.12366E-15
5.78	1.12483E-15
5.8	1.12599E-15
5.82	1.12712E-15
5.84	1.12824E-15
5.86	1.12933E-15
5.88	1.13041E-15
5.9	1.13147E-15
5.92	1.13252E-15
5.94	1.13354E-15
5.96	1.13456E-15
5.98	1.13555E-15
6	1.13654E-15
6.02	1.1375E-15
6.04	1.13846E-15
6.06	1.1394E-15
6.08	1.14033E-15
6.1	1.14124E-15
6.12	1.14215E-15
6.14	1.14304E-15
6.16	1.14393E-15
6.18	1.1448E-15
6.2	1.14567E-15
6.22	1.14653E-15
6.24	1.14738E-15
6.26	1.14823E-15
6.28	1.14906E-15
6.3	1.1499E-15
6.32	1.15073E-15
6.34	1.15155E-15
6.36	1.15238E-15
6.38	1.1532E-15
6.4	1.15402E-15
6.42	1.15483E-15
6.44	1.15565E-15
6.46	1.15647E-15
6.48	1.1573E-15
6.5	1.15812E-15
6.52	1.15895E-15
6.54	1.15979E-15
6.56	1.16063E-15
6.58	1.16147E-15
6.6	1.16233E-15
6.62	1.16319E-15
6.64	1.16406E-15
6.66	1.16494E-15
6.68	1.16583E-15
6.7	1.16673E-15
6.72	1.16765E-15
6.74	1.16858E-15
6.76	1.16952E-15
6.78	1.17048E-15
6.8	1.17145E-15
6.82	1.17243E-15
6.84	1.17344E-15
6.86	1.17446E-15
6.88	1.1755E-15
6.9	1.17656E-15
6.92	1.17763E-15
6.94	1.17873E-15
6.96	1.17984E-15
6.98	1.18098E-15
7	1.18214E-15
7.02	1.18331E-15
7.04	1.18451E-15
7.06	1.18573E-15
7.08	1.18696E-15
7.1	1.18821E-15
7.12	1.18948E-15
7.14	1.19076E-15
7.16	1.19205E-15
7.18	1.19335E-15
7.2	1.19467E-15
7.22	1.19599E-15
7.24	1.19732E-15
7.26	1.19865E-15
7.28	1.19999E-15
7.3	1.20134E-15
7.32	1.20269E-15
7.34	1.20404E-15
7.36	1.20539E-15
7.38	1.20674E-15
7.4	1.20808E-15
7.42	1.20943E-15
7.44	1.21077E-15
7.46	1.21211E-15
7.48	1.21344E-15
7.5	1.21477E-15
7.52	1.21609E-15
7.54	1.2174E-15
7.56	1.2187E-15
7.58	1.21999E-15
7.6	1.22127E-15
7.62	1.22254E-15
7.64	1.22379E-15
7.66	1.22504E-15
7.68	1.22626E-15
7.7	1.22748E-15
7.72	1.22867E-15
7.74	1.22986E-15
7.76	1.23102E-15
7.78	1.23216E-15
7.8	1.23329E-15
7.82	1.2344E-15
7.84	1.23549E-15
7.86	1.23655E-15
7.88	1.2376E-15
7.9	1.23862E-15
7.92	1.23962E-15
7.94	1.2406E-15
7.96	1.24155E-15
7.98	1.24247E-15
8	1.24337E-15
8.02	1.24425E-15
8.04	1.24509E-15
8.06	1.24591E-15
8.08	1.24671E-15
8.1	1.24748E-15
8.12	1.24823E-15
8.14	1.24896E-15
8.16	1.24967E-15
8.18	1.25036E-15
8.2	1.25103E-15
8.22	1.25168E-15
8.24	1.25231E-15
8.26	1.25293E-15
8.28	1.25353E-15
8.3	1.25411E-15
8.32	1.25468E-15
8.34	1.25523E-15
8.36	1.25577E-15
8.38	1.2563E-15
8.4	1.25682E-15
8.42	1.25732E-15
8.44	1.25781E-15
8.46	1.2583E-15
8.48	1.25877E-15
8.5	1.25923E-15
8.52	1.25969E-15
8.54	1.26013E-15
8.56	1.26057E-15
8.58	1.261E-15
8.6	1.26143E-15
8.62	1.26185E-15
8.64	1.26226E-15
8.66	1.26267E-15
8.68	1.26308E-15
8.7	1.26348E-15
8.72	1.26388E-15
8.74	1.26428E-15
8.76	1.26467E-15
8.78	1.26507E-15
8.8	1.26546E-15
8.82	1.26586E-15
8.84	1.26625E-15
8.86	1.26665E-15
8.88	1.26705E-15
8.9	1.26745E-15
8.92	1.26786E-15
8.94	1.26827E-15
8.96	1.26869E-15
8.98	1.26911E-15
9	1.26953E-15
9.02	1.26997E-15
9.04	1.27041E-15
9.06	1.27086E-15
9.08	1.27131E-15
9.1	1.27178E-15
9.12	1.27226E-15
9.14	1.27274E-15
9.16	1.27324E-15
9.18	1.27375E-15
9.2	1.27427E-15
9.22	1.2748E-15
9.24	1.27535E-15
9.26	1.27591E-15
9.28	1.27649E-15
9.3	1.27708E-15
9.32	1.27769E-15
9.34	1.27831E-15
9.36	1.27895E-15
9.38	1.27961E-15
9.4	1.28028E-15
9.42	1.28097E-15
9.44	1.28169E-15
9.46	1.28242E-15
9.48	1.28317E-15
9.5	1.28394E-15
9.52	1.28473E-15
9.54	1.28554E-15
9.56	1.28637E-15
9.58	1.28722E-15
9.6	1.28809E-15
9.62	1.28899E-15
9.64	1.2899E-15
9.66	1.29083E-15
9.68	1.29178E-15
9.7	1.29274E-15
9.72	1.29373E-15
9.74	1.29474E-15
9.76	1.29576E-15
9.78	1.2968E-15
9.8	1.29786E-15
9.82	1.29894E-15
9.84	1.30003E-15
9.86	1.30114E-15
9.88	1.30227E-15
9.9	1.30342E-15
9.92	1.30458E-15
9.94	1.30576E-15
9.96	1.30696E-15
9.98	1.30817E-15
10	1.30939E-15
10.02	1.31064E-15
10.04	1.31189E-15
10.06	1.31317E-15
10.08	1.31446E-15
10.1	1.31576E-15
10.12	1.31707E-15
10.14	1.31841E-15
10.16	1.31975E-15
10.18	1.32111E-15
10.2	1.32248E-15
10.22	1.32387E-15
10.24	1.32527E-15
10.26	1.32669E-15
10.28	1.32811E-15
10.3	1.32955E-15
10.32	1.33101E-15
10.34	1.33247E-15
10.36	1.33395E-15
10.38	1.33544E-15
10.4	1.33694E-15
10.42	1.33846E-15
10.44	1.33998E-15
10.46	1.34152E-15
10.48	1.34307E-15
10.5	1.34463E-15
10.52	1.3462E-15
10.54	1.34778E-15
10.56	1.34937E-15
10.58	1.35097E-15
10.6	1.35258E-15
10.62	1.3542E-15
10.64	1.35582E-15
10.66	1.35746E-15
10.68	1.35909E-15
10.7	1.36074E-15
10.72	1.36239E-15
10.74	1.36404E-15
10.76	1.3657E-15
10.78	1.36736E-15
10.8	1.36903E-15
10.82	1.3707E-15
10.84	1.37236E-15
10.86	1.37403E-15
10.88	1.3757E-15
10.9	1.37737E-15
10.92	1.37904E-15
10.94	1.38071E-15
10.96	1.38238E-15
10.98	1.38404E-15
11	1.38569E-15
11.02	1.38735E-15
11.04	1.389E-15
11.06	1.39064E-15
11.08	1.39227E-15
11.1	1.3939E-15
11.12	1.39552E-15
11.14	1.39713E-15
11.16	1.39873E-15
11.18	1.40032E-15
11.2	1.4019E-15
11.22	1.40347E-15
11.24	1.40502E-15
11.26	1.40656E-15
11.28	1.40809E-15
11.3	1.4096E-15
11.32	1.4111E-15
11.34	1.41257E-15
11.36	1.41403E-15
11.38	1.41548E-15
11.4	1.4169E-15
11.42	1.4183E-15
11.44	1.41968E-15
11.46	1.42104E-15
11.48	1.42238E-15
11.5	1.42369E-15
11.52	1.42498E-15
11.54	1.42625E-15
11.56	1.4275E-15
11.58	1.42872E-15
11.6	1.42993E-15
11.62	1.43112E-15
11.64	1.43229E-15
11.66	1.43345E-15
11.68	1.43459E-15
11.7	1.43572E-15
11.72	1.43684E-15
11.74	1.43795E-15
11.76	1.43905E-15
11.78	1.44014E-15
11.8	1.44122E-15
11.82	1.4423E-15
11.84	1.44338E-15
11.86	1.44446E-15
11.88	1.44553E-15
11.9	1.4466E-15
11.92	1.44768E-15
11.94	1.44876E-15
11.96	1.44985E-15
11.98	1.45094E-15
12	1.45204E-15
12.02	1.45315E-15
12.04	1.45427E-15
12.06	1.45539E-15
12.08	1.45653E-15
12.1	1.45767E-15
12.12	1.45882E-15
12.14	1.45998E-15
12.16	1.46114E-15
12.18	1.46231E-15
12.2	1.46348E-15
12.22	1.46466E-15
12.24	1.46585E-15
12.26	1.46704E-15
12.28	1.46823E-15
12.3	1.46943E-15
12.32	1.47063E-15
12.34	1.47184E-15
12.36	1.47304E-15
12.38	1.47425E-15
12.4	1.47546E-15
