//1	2	1	1	0	0	0	0
//Energy [eV]	Trasnport XS[cm^2]
0.01	1.9537319684899074e-17
0.010269736041559445	1.8068281330799616e-17
0.010546747836330505	1.6693987956427894e-17
0.010831231637600242	1.5424611539668943e-17
0.011123388992314211	1.4265971183426164e-17
0.011423426883865485	1.3218018440126235e-17
0.011731557878735246	1.2279317957786436e-17
0.012048000277088803	1.1447141381668156e-17
0.012372978267433698	1.0717279731557914e-17
0.012706722085449557	1.0083953082552765e-17
0.01304946817710207	9.545677702928116e-18
0.013401459366156816	9.10919713810834e-18
0.013762945026211504	8.78226802959462e-18
0.014134181257368551	8.573018113660225e-18
0.014515431067673178	8.489955763395266e-18
0.014906964559445493	8.541978988026007e-18
0.015309059120638667	8.738383766741733e-18
0.015721999621358725	9.088871579687325e-18
0.016146078615685157	9.600767634539892e-18
0.016581596548935408	1.0268815555113833e-17
0.017028861970519966	1.1082078704202946e-17
0.017488191752538986	1.2026591020765594e-17
0.017959911314275226	1.3084967411758664e-17
0.018444354852742345	1.423597357726489e-17
0.01894186557945199	1.5454064663622828e-17
0.019452795963567235	1.671894687388463e-17
0.01997750798161485	1.803565960033823e-17
0.020516373373933153	1.941503063691789e-17
0.02106977390803717	2.0869398743906047e-17
0.02163810164908781	2.2412779510579452e-17
0.022221759237656395	2.4060860111922453e-17
0.02282116017498164	2.5819604100971616e-17
0.023436729115921	2.7676291692254886e-17
0.024068902169803938	2.961369108249343e-17
0.024718127209400382	3.161113758283985e-17
0.025384864188223027	3.3644291142363517e-17
0.026069585466388562	3.5696551614808403e-17
0.02677277614526849	3.776883954177229e-17
0.027494934411166662	3.986425465644268e-17
0.028236571888267125	4.198649356266691e-17
0.028998214001102113	4.4139924928477786e-17
0.029780400346797204	4.632967251822814e-17
0.030583685077357262	4.856170680686054e-17
0.031408637292263945	5.084294598680842e-17
0.03225584144166311	5.3180516739336837e-17
0.033125897740427436	5.557824276039591e-17
0.034019422593388006	5.803900742685622e-17
0.034937049032035865	6.056595841866452e-17
0.035879427163002804	6.316253519330395e-17
0.03684722462863968	6.583249878519152e-17
0.03784112708001777	6.857996449047214e-17
0.03886183866268894	7.140943770221843e-17
0.03991008251554851	7.43258531845241e-17
0.04098660128315398	7.733461809949224e-17
0.0420921576418633	8.044165912884367e-17
0.043227534840164526	8.365347406198118e-17
0.0443935372535804	8.69771414727767e-17
0.045590990954540674	9.04163441476774e-17
0.04682074429762567	9.396745906744059e-17
0.04808366852059652	9.762494977300411e-17
0.049380658361636735	1.013818645798812e-16
0.05071263269324343	1.0522966284865252e-16
0.052080535173216806	1.0915802364316864e-16
0.05348533491320887	1.131546351362599e-16
0.05492802716530588	1.1720496297670535e-16
0.056409634027129806	1.2129199567248396e-16
0.05793120516595927	1.2539596487285913e-16
0.059493818562382686	1.2949403824443714e-16
0.061098581274009946	1.335599824327269e-16
0.06274663021978488	1.375637933795391e-16
0.06443913298545279	1.4148118444060292e-16
0.06617728865075462	1.453423496034154e-16
0.06796232863893378	1.4920440263783558e-16
0.06979551758915656	1.5313483400113685e-16
0.07167815425246572	1.5721272065535694e-16
0.07361157241190046	1.6153007772008615e-16
0.07559714182743565	1.661933426264303e-16
0.07763626920640973	1.712734903241615e-16
0.07973039920012773	1.766604252339036e-16
0.08188101542734741	1.8217906778915616e-16
0.08408964152537145	1.8766104714096777e-16
0.08635784222949204	1.9305136411940244e-16
0.0886872244815519	1.9832034317851603e-16
0.09107943856840663	2.0343484839403403e-16
0.09353617929109649	2.0835794722365805e-16
0.09605918716555398	2.130516924126953e-16
0.09865024965569935	2.1751370533907858e-16
0.10131120243979728	2.2177107908294657e-16
0.10404393071097112	2.258583726289962e-16
0.10685037051279737	2.2981807694584297e-16
0.10973251011092557	2.3373796110311755e-16
0.11269239140169583	2.3789584380786644e-16
0.11573211135875187	2.426681758933043e-16
0.11885382351867453	2.484919556102478e-16
0.12205973950668773	2.557684693410078e-16
0.12535213060351882	2.640955084388264e-16
0.12873332935452234	2.72561984989104e-16
0.13220573122220802	2.800960399507189e-16
0.13577179628334304	2.8598818332100084e-16
0.13943405097183148	2.9156351207971913e-16
0.14319508986860544	2.9815868770913254e-16
0.147057577539796	3.0587174971599273e-16
0.15102425042448658	3.1464379502132407e-16
0.1550979187733849	3.2439778790005327e-16
0.159281468639789	3.3503509699293067e-16
0.16357786392425616	3.464024065514502e-16
0.1679901484744239	3.5827911827525003e-16
0.17252144824147134	3.7040164275487096e-16
0.17717497349474703	3.8246072490139e-16
0.1819540210961343	3.942147949025994e-16
0.18686197683576378	4.056568281671747e-16
0.19190231783072884	4.168257370531254e-16
0.19707861498850315	4.2785152776918987e-16
0.2023945355368048	4.389516167239569e-16
0.2078538456217008	4.503833289894288e-16
0.21346041297579135	4.62344003858816e-16
0.21921820965836467	4.746729855086848e-16
0.22513131486946422	4.870884373127336e-16
0.23120391783986044	4.993130368757065e-16
0.23744032079897634	5.114793028301391e-16
0.24384494202286838	5.239793349382935e-16
0.25042231896442235	5.372735743551137e-16
0.25717711146798233	5.518105709326558e-16
0.2641141050706889	5.674533865340995e-16
0.27123821439286716	5.837330779812912e-16
0.27855448661986554	6.00094699112152e-16
0.28606810507781194	6.158999658719797e-16
0.293784392905822	6.30929800946223e-16
0.3017088168272581	6.45681156286749e-16
0.3098469910227149	6.6079727859959125e-16
0.3182046811074721	6.770188651971468e-16
0.3267878082162334	6.947538316542232e-16
0.33560245319804677	7.138903483832162e-16
0.3446548609243747	7.342506657528563e-16
0.35395144471337087	7.556183410288085e-16
0.363498790873494	7.777335031692868e-16
0.37330366336967985	8.002876352725263e-16
0.38337300861537754	8.229468052515934e-16
0.3937139603938422	8.458277140387118e-16
0.4043338449121749	8.695056302644622e-16
0.41524018599168694	8.946653340456547e-16
0.4264407103982672	9.221006581121458e-16
0.43794335331652984	9.527268968662039e-16
0.44975626397161683	9.874572960922862e-16
0.4618878114026437	1.0262064735219094e-15
0.4743465903918741	1.0682891516762868e-15
0.48714142755382617	1.1128747158154982e-15
0.5002813875886247	1.1589728994955495e-15
0.5137757797040269	1.2054797960195931e-15
0.5276341642106751	1.2516671291353984e-15
0.5418663592952464	1.2969808402241774e-15
0.5564824479762989	1.340786119232703e-15
0.5714927852477425	1.3823564370431047e-15
0.5869080054149932	1.4208635702620479e-15
0.6027390296290122	1.4553666623094848e-15
