0.15 1.1367 0.15 0.51158 0.225 0.35005 0.3 0.21317 0.3 0.16068 0.3 0.13151 0.3 0.11263 0.3 0.099297 0.3 0.089476 0.3 0.082464 0.3 0.077877 0.3 0.075155 0.3 0.073675 0.3 0.072932 0.3 0.072593 0.3 0.072458 0.3 0.072415 0.3 0.072404 0.3 0.072371 0.3 0.072264 
0.16 1.1366 0.16 0.51158 0.24 0.35005 0.32 0.21317 0.32 0.16068 0.32 0.13151 0.32 0.11263 0.32 0.099297 0.32 0.089475 0.32 0.082464 0.32 0.077876 0.32 0.075153 0.32 0.073673 0.32 0.07293 0.32 0.072591 0.32 0.072455 0.32 0.072412 0.32 0.072401 0.32 0.072369 0.32 0.072261 
0.17 1.1366 0.17 0.51158 0.255 0.35005 0.34 0.21317 0.34 0.16068 0.34 0.13151 0.34 0.11263 0.34 0.099297 0.34 0.089475 0.34 0.082463 0.34 0.077874 0.34 0.075152 0.34 0.07367 0.34 0.072927 0.34 0.072587 0.34 0.072452 0.34 0.072409 0.34 0.072398 0.34 0.072365 0.34 0.072258 
0.18 1.1366 0.18 0.51157 0.27 0.35005 0.36 0.21317 0.36 0.16068 0.36 0.13151 0.36 0.11263 0.36 0.099297 0.36 0.089475 0.36 0.082462 0.36 0.077873 0.36 0.075149 0.36 0.073667 0.36 0.072924 0.36 0.072584 0.36 0.072448 0.36 0.072405 0.36 0.072394 0.36 0.072361 0.36 0.072254 
0.19 1.1365 0.19 0.51157 0.285 0.35005 0.38 0.21317 0.38 0.16068 0.38 0.13151 0.38 0.11263 0.38 0.099297 0.38 0.089475 0.38 0.082461 0.38 0.077871 0.38 0.075146 0.38 0.073664 0.38 0.072919 0.38 0.072579 0.38 0.072443 0.38 0.0724 0.38 0.072389 0.38 0.072356 0.38 0.07225 
0.2 1.1365 0.2 0.51157 0.3 0.35005 0.4 0.21317 0.4 0.16068 0.4 0.13151 0.4 0.11263 0.4 0.099297 0.4 0.089474 0.4 0.08246 0.4 0.077869 0.4 0.075143 0.4 0.073659 0.4 0.072914 0.4 0.072573 0.4 0.072437 0.4 0.072394 0.4 0.072383 0.4 0.07235 0.4 0.072244 
0.21 1.1365 0.21 0.51157 0.315 0.35005 0.42 0.21316 0.42 0.16068 0.42 0.1315 0.42 0.11263 0.42 0.099297 0.42 0.089474 0.42 0.082459 0.42 0.077866 0.42 0.075139 0.42 0.073654 0.42 0.072908 0.42 0.072567 0.42 0.07243 0.42 0.072387 0.42 0.072376 0.42 0.072344 0.42 0.072238 
0.22 1.1365 0.22 0.51157 0.33 0.35005 0.44 0.21316 0.44 0.16068 0.44 0.1315 0.44 0.11263 0.44 0.099296 0.44 0.089473 0.44 0.082458 0.44 0.077864 0.44 0.075135 0.44 0.073649 0.44 0.072902 0.44 0.07256 0.44 0.072423 0.44 0.072379 0.44 0.072368 0.44 0.072336 0.44 0.07223 
0.23 1.1364 0.23 0.51157 0.345 0.35004 0.46 0.21316 0.46 0.16068 0.46 0.1315 0.46 0.11263 0.46 0.099296 0.46 0.089473 0.46 0.082456 0.46 0.07786 0.46 0.07513 0.46 0.073642 0.46 0.072894 0.46 0.072551 0.46 0.072414 0.46 0.07237 0.46 0.072359 0.46 0.072327 0.46 0.072222 
0.24 1.1364 0.24 0.51157 0.36 0.35004 0.48 0.21316 0.48 0.16067 0.48 0.1315 0.48 0.11263 0.48 0.099296 0.48 0.089472 0.48 0.082454 0.48 0.077857 0.48 0.075125 0.48 0.073635 0.48 0.072886 0.48 0.072542 0.48 0.072404 0.48 0.07236 0.48 0.072349 0.48 0.072317 0.48 0.072212 
0.25 1.1364 0.25 0.51157 0.375 0.35003 0.5 0.21315 0.5 0.16067 0.5 0.1315 0.5 0.11263 0.5 0.099296 0.5 0.089472 0.5 0.082452 0.5 0.077853 0.5 0.075119 0.5 0.073628 0.5 0.072877 0.5 0.072532 0.5 0.072394 0.5 0.072349 0.5 0.072337 0.5 0.072306 0.5 0.072201 
0.26 1.1364 0.26 0.51157 0.39 0.35003 0.52 0.21315 0.52 0.16067 0.52 0.1315 0.52 0.11263 0.52 0.099295 0.52 0.089471 0.52 0.08245 0.52 0.077849 0.52 0.075112 0.52 0.073619 0.52 0.072867 0.52 0.072521 0.52 0.072382 0.52 0.072337 0.52 0.072325 0.52 0.072294 0.52 0.07219 
0.27 1.1364 0.27 0.51156 0.405 0.35002 0.54 0.21314 0.54 0.16067 0.54 0.1315 0.54 0.11263 0.54 0.099295 0.54 0.08947 0.54 0.082448 0.54 0.077844 0.54 0.075105 0.54 0.07361 0.54 0.072856 0.54 0.072509 0.54 0.072369 0.54 0.072323 0.54 0.072311 0.54 0.07228 0.54 0.072177 
0.28 1.1363 0.28 0.51156 0.42 0.35001 0.56 0.21313 0.56 0.16067 0.56 0.1315 0.56 0.11263 0.56 0.099294 0.56 0.089469 0.56 0.082446 0.56 0.07784 0.56 0.075098 0.56 0.0736 0.56 0.072844 0.56 0.072496 0.56 0.072355 0.56 0.072309 0.56 0.072297 0.56 0.072266 0.56 0.072163 
