1.158759E-01,1.067332E+02,1.062334E+02
1.232702E-01,9.836238E+01,9.787695E+01
1.311311E-01,9.055356E+01,9.008208E+01
1.394872E-01,8.327136E+01,8.281358E+01
1.483691E-01,7.648321E+01,7.603904E+01
1.578088E-01,7.015919E+01,6.972873E+01
1.678406E-01,6.427191E+01,6.385543E+01
1.785003E-01,5.879630E+01,5.839424E+01
1.898261E-01,5.370944E+01,5.332240E+01
2.018581E-01,4.899028E+01,4.861895E+01
2.146389E-01,4.461940E+01,4.426455E+01
2.282132E-01,4.057868E+01,4.024109E+01
2.426282E-01,3.685108E+01,3.653148E+01
2.579339E-01,3.342026E+01,3.311927E+01
2.741826E-01,3.027036E+01,2.998847E+01
2.914298E-01,2.738579E+01,2.712324E+01
3.097334E-01,2.475098E+01,2.450778E+01
3.291548E-01,2.235030E+01,2.212619E+01
3.497581E-01,2.016799E+01,1.996242E+01
3.716108E-01,1.818815E+01,1.800030E+01
3.947836E-01,1.639483E+01,1.622364E+01
4.193508E-01,1.477216E+01,1.461635E+01
4.453899E-01,1.330452E+01,1.316265E+01
4.729822E-01,1.197676E+01,1.184731E+01
5.022125E-01,1.077444E+01,1.065585E+01
5.331694E-01,9.684001E+00,9.574784E+00
5.659453E-01,8.693040E+00,8.591790E+00
6.006363E-01,7.790402E+00,7.695878E+00
6.373424E-01,6.966305E+00,6.877465E+00
6.761674E-01,6.212373E+00,6.128394E+00
7.172191E-01,5.521608E+00,5.441895E+00
7.606089E-01,4.888299E+00,4.812471E+00
8.064521E-01,4.307877E+00,4.235748E+00
8.548677E-01,3.776732E+00,3.708273E+00
9.059782E-01,3.292005E+00,3.227306E+00
9.599096E-01,2.851382E+00,2.790603E+00
1.016791E+00,2.452883E+00,2.396216E+00
1.076756E+00,2.094690E+00,2.042318E+00
1.139939E+00,1.775000E+00,1.727067E+00
1.206478E+00,1.491921E+00,1.448508E+00
1.276514E+00,1.243405E+00,1.204517E+00
1.350190E+00,1.027226E+00,9.927876E-01
1.427649E+00,8.409822E-01,8.108401E-01
1.509038E+00,6.821323E-01,6.560632E-01
1.594503E+00,5.480434E-01,5.257673E-01
1.684192E+00,4.360516E-01,4.172462E-01
1.778251E+00,3.435228E-01,3.278399E-01
1.876828E+00,2.679113E-01,2.549913E-01
1.980069E+00,2.068094E-01,1.962953E-01
2.088119E+00,1.579870E-01,1.495351E-01
2.201119E+00,1.194188E-01,1.127078E-01
2.319211E+00,8.930039E-02,8.403694E-02
2.442531E+00,6.605275E-02,6.197548E-02
2.571212E+00,4.831836E-02,4.519901E-02
