0.1 164780 
0.3 220590 
0.5 249900 
1 291460 
1.5 319760 
2 341830 
2.5 359670 
3 375340 
3.5 391520 
4 411910 
4.5 439470 
5 474590 
5.5 515780 
6 561080 
6.5 608870 
7 658000 
7.5 707750 
8 757670 
9 857040 
10 955070 
