//1	2	1	1	0	0	0	0
//Energy [eV]	Attenuation length [mm]
1.241083067067067	11.889948899447088
1.242326637274549	11.889948899447104
1.2435727021063188	11.889948899447104
1.2448212690763052	11.889948899447104
1.2460723457286431	11.889948899447088
1.247325939637827	11.889948899447104
1.248582058408862	11.889948899447104
1.2498407096774193	11.889948899447088
1.2511019011099898	11.889948899447088
1.2523656404040404	11.889948899447088
1.2536319352881697	11.874200831788658
1.2549007935222671	11.858534999845222
1.2561722228976697	11.842950549213894
1.2574462312373225	11.827446638738586
1.258722826395939	11.81202244023733
1.2600020162601626	11.796677138237005
1.2612838087487284	11.78140992971461
1.2625682118126271	11.766220023844953
1.26385523343527	11.751106641755083
1.265144881632653	11.736069016284436
1.266437164453524	11.736069016284436
1.2677320899795501	11.736069016284453
1.269029666325486	11.736069016284453
1.2703299016393441	11.736069016284453
1.271632804102564	11.736069016284436
1.2729383819301847	11.736069016284453
1.2742466433710173	11.736069016284453
1.2755575967078188	11.736069016284453
1.2768712502574664	11.736069016284436
1.278187612371134	11.736069016284436
1.2795066914344684	11.736069016284436
1.2808284958677685	11.736069016284436
1.2821530341261633	11.736069016284453
1.2834803146997928	11.736069016284453
1.2848103461139895	11.736069016284436
1.2861431369294605	11.736069016284453
1.2874786957424713	11.736069016284453
1.288817031185031	11.736069016284436
1.290158151925078	11.736069016284436
1.2915020666666666	11.736069016284436
1.2928487841501564	11.736069016284436
1.2941983131524006	11.736069016284436
1.2955506624869382	11.736069016284436
1.296905841004184	11.736069016284453
1.298263857591623	11.736069016284436
1.2996247211740042	11.736069016284436
1.3009884407135361	11.736069016284453
1.302355025210084	11.736069016284436
1.3037244837013668	11.736069016284436
1.3050968252631578	11.736069016284436
1.3064720590094836	11.736069016284436
1.3078501940928269	11.736069016284436
1.3092312397043293	11.736069016284453
1.3106152050739956	11.736069016284453
1.3120020994708994	11.736069016284436
1.3133919322033898	11.736069016284453
1.3147847126193	11.736069016284453
1.316180450106157	11.736069016284453
1.3175791540913921	11.736069016284453
1.318980834042553	11.736069016284436
1.3203854994675186	11.736069016284436
1.3217931599147121	11.736069016284436
1.323203824973319	11.736069016284436
1.3246175042735042	11.736069016284453
1.326034207486631	11.736069016284436
1.3274539443254818	11.736069016284436
1.3288767245444801	11.736069016284453
1.3303025579399141	11.736069016284436
1.331731454350161	11.736069016284436
1.3331634236559138	11.736069016284436
1.334598475780409	11.736069016284436
1.336036620689655	11.736069016284436
1.3374778683926645	11.736069016284453
1.3389222289416847	11.736069016284436
1.3403697124324323	11.736069016284436
1.341820329004329	11.736069016284453
1.3432740888407366	11.736069016284453
1.3447310021691974	11.736069016284436
1.346191079261672	11.736069016284436
1.3476543304347826	11.736069016284436
1.3491207660500544	11.736069016284436
1.350590396514161	11.736069016284436
1.352063232279171	11.736069016284436
1.3535392838427946	11.736069016284453
1.3550185617486339	11.736069016284453
1.3565010765864332	11.736069016284453
1.3579868389923329	11.736069016284453
1.3594758596491228	11.736069016284436
